Tehtävä;Lkm
L01T1;211
L01T2;206
L01T3;206
L01T4;206
L01T5;205
L02T1;200
L02T2;198
L02T3;193
L02T4;187
L02T5;187
L03T1;183
L03T2;182
L03T3;179
L03T4;176
L03T5;173
L04T1;173
L04T2;166
L04T3;165
L04T4;163
L04T5;143
L05T1;153
L05T2;152
L05T3;150
L05T4;143
L05T5;140
L06T1;137
L06T2;131
L06T3;118
L06T4;116
L06T5;114
L07T1;124
L07T2;123
L07T3;118
L07T4;118
L07T5;116
L08T1;116
L08T2;108
L08T3;108
L08T4;80
L08T5;85
L09T1;97
L09T2;90
L09T3;87
L09T4;86
L10T1;87
L10T2;80
L10T3;77
L11T1;85
L11T2;81
L11T3;65
L12T1;81
L12T2;80
L12T3;59
L13T1;64
L13T2;54
L13T3;48
L14T1;66
L14T2;52
L14T3;47
L14T4;59
